unemployed,educ,health,age,female,migback
0,10.5,6,64,1,0
0,18,6,69,0,0
0,18,3,69,1,0
0,11,3,60,0,0
0,10.5,6,59,1,0
0,NA,8,33,1,0
0,11.5,8,46,0,0
0,18,7,85,0,0
0,12,8,77,1,0
0,10.5,6,77,0,0
0,14,6,73,0,0
0,12,3,65,1,0
1,10,0,42,1,0
0,10.5,8,78,0,0
0,11,5,51,0,0
0,11.5,8,55,0,1
0,12,2,55,1,0
0,13,9,21,1,0
0,11.5,10,45,1,0
0,11.5,8,66,0,0
0,9,6,65,1,0
0,12,8,51,1,0
0,10,9,80,0,0
0,10.5,7,67,0,0
0,10.5,0,62,1,0
0,10.5,8,69,0,0
0,11.5,8,64,1,0
0,10.5,8,38,1,0
0,18,4,56,0,0
0,14,7,54,1,0
0,16,7,24,1,0
0,13,7,23,1,0
0,NA,NA,17,0,0
0,10.5,5,57,0,0
0,12,0,55,1,0
0,10.5,3,34,1,0
0,NA,8,29,1,0
0,9,7,29,0,0
0,10.5,9,47,0,0
0,11.5,7,50,0,0
0,11.5,7,56,0,0
0,11,7,52,1,0
0,11,7,46,0,0
0,10.5,8,43,1,0
0,NA,NA,17,0,0
0,10.5,8,45,1,0
0,11.5,7,68,0,0
0,10.5,5,50,1,0
0,14,7,48,0,0
0,10.5,7,77,1,0
0,11.5,6,68,0,1
0,10.5,7,66,1,0
0,15,5,89,0,0
0,11.5,5,79,1,0
0,11.5,8,58,0,1
0,12,8,52,1,0
0,15,5,25,1,0
0,NA,7,23,1,0
0,10.5,7,60,0,0
0,11,5,53,1,0
0,NA,7,31,1,0
0,11.5,8,73,0,0
0,11.5,9,71,1,0
0,13.5,9,71,0,0
0,11.5,7,67,1,0
0,14.5,8,44,1,0
0,11,8,40,0,0
0,10.5,9,66,1,0
0,18,8,36,0,0
0,18,7,34,0,0
0,13.5,8,66,0,0
0,11.5,5,65,1,0
0,14.5,4,43,0,0
0,18,3,66,0,0
0,11.5,9,50,0,0
0,10.5,8,38,0,0
0,NA,5,74,0,0
0,NA,8,70,1,0
1,14.5,7,46,1,0
0,9,3,90,1,0
0,11.5,3,52,1,0
0,11.5,4,57,1,0
0,11.5,10,32,1,0
0,11.5,10,30,1,0
0,12,8,48,1,0
0,18,7,56,1,0
0,10.5,7,58,0,0
0,9,4,53,1,0
0,15,9,27,0,0
0,18,8,56,0,0
