hinc,unemployed,age,married,migback,health,happiness
1100,0,64,0,0,6,8
3000,0,69,0,0,6,7
2000,0,69,0,0,3,8
2000,0,60,1,0,3,4
2000,0,59,1,0,6,6
3700,0,33,0,0,8,8
10000,0,46,0,0,8,7
5000,0,85,1,0,7,8
5000,0,77,1,0,8,7
1870,0,77,0,0,6,7
2500,0,73,1,0,6,7
2500,0,65,1,0,3,8
1100,1,42,0,0,0,4
1300,0,78,0,0,8,4
2810,0,51,1,0,5,5
5600,0,55,1,1,8,8
5600,0,55,1,0,2,5
5600,0,21,0,0,9,7
3500,0,45,0,0,10,8
3000,0,66,1,0,8,8
3000,0,65,1,0,6,8
1423,0,51,0,0,8,8
2100,0,80,0,0,9,8
1800,0,67,1,0,7,7
1800,0,62,1,0,0,8
2500,0,69,1,0,8,9
2500,0,64,1,0,8,8
2300,0,38,1,0,8,9
3200,0,56,1,0,4,8
3200,0,54,1,0,7,7
3200,0,24,0,0,7,8
3200,0,23,0,0,7,8
3200,0,17,0,0,NA,NA
1600,0,57,0,0,5,7
1712,0,55,1,0,0,2
2800,0,34,1,0,3,9
800,0,29,0,0,8,7
1712,0,29,0,0,7,7
1712,0,47,1,0,9,6
3500,0,50,0,0,7,8
3500,0,56,1,0,7,8
3500,0,52,1,0,7,8
2500,0,46,1,0,7,7
2500,0,43,1,0,8,8
2500,0,17,0,0,NA,NA
3800,0,45,1,0,8,10
1951,0,68,1,0,7,8
5200,0,50,1,0,5,6
5200,0,48,1,0,7,8
3000,0,77,0,0,7,6
2450,0,68,1,1,6,9
2450,0,66,1,0,7,9
2600,0,89,1,0,5,7
2600,0,79,1,0,5,7
6000,0,58,1,1,8,9
6000,0,52,1,0,8,9
6000,0,25,0,0,5,7
1800,0,23,0,0,7,9
1250,0,60,0,0,7,7
4000,0,53,1,0,5,8
1140,0,31,0,0,7,5
2400,0,73,1,0,8,8
2400,0,71,1,0,9,9
4700,0,71,1,0,9,9
4700,0,67,1,0,7,8
4400,0,44,1,0,8,7
3000,0,40,1,0,8,7
1500,0,66,0,0,9,9
8300,0,36,0,0,8,8
3300,0,34,1,0,7,9
4000,0,66,1,0,8,8
4000,0,65,1,0,5,8
4000,0,43,0,0,4,4
1800,0,66,0,0,3,4
2600,0,50,0,0,9,9
3650,0,38,0,0,8,8
2870,0,74,1,0,5,8
2870,0,70,1,0,8,9
4700,1,46,1,0,7,8
1300,0,90,0,0,3,10
5200,0,52,1,0,3,9
2200,0,57,0,0,4,4
2750,0,32,0,0,10,9
2900,0,30,0,0,10,10
2200,0,48,0,0,8,10
4500,0,56,1,0,7,8
1000,0,58,0,0,7,8
1900,0,53,0,0,4,3
1900,0,27,0,0,9,8
4500,0,56,1,0,8,7
4500,0,45,1,0,5,7
2190,0,65,0,0,8,8
2190,1,39,0,0,9,8
3260,0,48,1,1,8,9
1700,0,74,1,0,9,9
1700,0,75,1,1,9,9
3700,0,49,1,0,7,8
4900,0,65,1,0,4,6
4900,0,61,1,0,5,7
1900,0,72,0,0,7,8
4050,0,52,1,0,7,9
3100,0,49,1,0,6,7
2100,0,68,0,0,7,6
2100,0,70,1,0,9,10
3000,0,46,1,0,9,10
2350,0,67,0,0,2,5
4300,0,44,1,0,7,8
3750,0,39,1,0,7,8
2800,0,73,1,0,3,6
2800,0,70,1,0,3,8
4400,0,60,1,0,5,7
4400,0,58,1,0,5,5
5200,0,58,1,0,8,8
5200,0,58,1,1,7,8
1100,0,22,0,1,10,10
1900,0,74,0,0,9,8
1380,0,74,0,0,5,5
2400,0,53,0,0,8,6
1300,0,59,0,0,5,5
3936,0,57,1,0,4,5
5500,0,75,1,0,5,7
5500,0,58,1,0,8,9
630,0,82,0,0,8,9
5500,0,62,1,0,6,7
5500,0,56,1,0,3,7
1950,0,84,0,0,7,9
4618,0,52,1,0,7,8
4400,0,35,1,1,7,6
NA,0,61,1,0,6,6
NA,0,63,1,0,8,7
1925,0,76,1,0,5,8
1925,0,70,1,0,8,8
1300,0,80,0,0,6,8
3600,0,52,1,0,7,7
1700,0,69,0,0,3,4
3500,0,50,1,0,4,3
5500,0,47,1,0,3,4
3500,0,60,1,0,2,2
700,1,62,0,0,6,8
4000,0,40,1,0,5,7
3500,0,51,1,0,7,5
4200,0,78,1,0,6,5
4200,0,74,0,0,5,8
4200,0,50,0,0,5,7
4200,1,48,0,0,7,7
1568,0,79,0,0,8,8
3933,0,44,0,0,9,8
5800,0,72,1,0,3,7
5800,0,67,1,0,8,8
800,0,72,0,0,4,7
5500,0,46,1,0,7,8
2600,0,39,0,0,8,8
6000,0,65,1,0,8,8
6000,0,58,1,0,8,9
6000,0,25,0,0,NA,7
6000,0,22,0,0,7,7
7500,0,66,1,0,7,7
7500,0,62,1,0,8,9
2500,0,57,1,0,3,4
1200,0,38,0,1,7,7
3800,0,54,1,0,7,4
2800,0,28,1,0,2,4
2000,0,73,1,0,5,NA
2000,0,78,0,0,7,8
1900,0,72,1,1,8,8
1900,0,75,1,0,8,8
2700,0,61,1,0,7,8
2700,0,58,1,1,8,8
1500,0,70,1,0,5,8
1500,0,67,1,0,6,8
2900,0,42,1,0,6,7
1800,0,71,0,1,5,5
1700,0,66,0,1,6,7
3200,0,67,1,0,9,10
1600,0,42,0,1,3,5
10660,0,73,1,0,8,8
10660,0,73,1,0,8,8
10660,0,39,0,0,8,8
10660,0,36,0,0,9,8
3000,0,71,1,0,9,9
3000,0,68,1,1,6,6
1749,0,81,0,0,4,7
840,0,50,0,1,1,1
3100,0,75,0,0,7,8
5300,0,54,1,1,4,7
7760,0,54,1,1,5,8
1675,0,72,1,0,6,7
1675,0,68,1,0,7,8
1380,0,45,0,0,7,7
3000,0,43,1,0,8,3
5000,0,45,1,0,8,8
1450,0,75,0,0,9,8
1450,0,48,0,0,9,9
1450,0,47,1,1,10,9
1434,0,78,1,0,4,7
1434,0,75,1,0,7,8
3500,0,76,1,0,6,7
3500,0,78,1,0,3,6
2965,0,76,1,1,5,6
3063,0,64,0,0,5,7
2800,0,71,1,0,7,7
2800,0,69,1,0,5,8
2600,0,44,0,0,7,8
1100,0,85,1,0,7,7
1100,0,86,1,0,3,7
900,0,82,0,0,7,8
1727,0,51,0,0,6,7
2167,0,79,0,0,3,5
