income,age,educ,hh_size,ethnic,own_house,x
9,5,4,3,1,1,.34887171
9,5,5,5,1,1,.2668857
9,3,5,3,1,0,.1366463
1,1,2,4,1,1,.028556867
1,1,2,4,1,1,.86893326
8,6,4,2,1,1,.3508549
1,2,3,3,1,0,.071105093
6,3,4,1,1,0,.32336795
2,6,3,3,1,0,.55510318
4,7,4,2,1,0,.87599099
1,2,4,1,1,0,.20470947
4,2,3,2,0,1,.89275867
8,3,6,4,1,1,.5844658
7,5,3,4,1,1,.36977914
4,6,3,1,1,1,.85063088
7,5,4,2,1,1,.39138186
1,3,3,2,1,0,.11966132
9,5,5,2,1,1,.75424343
8,5,3,2,1,0,.69502336
9,1,2,4,1,1,.68661523
2,4,2,2,1,0,.9319346
9,4,4,5,0,1,.45488819
8,4,4,5,1,1,.067401104
4,5,4,3,1,,.33798888
1,1,2,4,1,1,.97488481
9,3,5,3,1,0,.7264384
7,4,4,3,1,1,.045415118
9,4,4,3,1,1,.74596667
6,4,6,3,1,1,.49612591
4,7,3,1,1,,.71671617
6,4,5,5,1,1,.85974205
8,4,4,4,1,1,.13407555
1,1,2,4,1,1,.48844185
1,1,2,3,1,1,.87121874
1,1,2,6,1,1,.76646835
8,4,4,6,1,1,.25125554
2,7,3,2,1,1,.16636477
8,4,3,3,1,1,.74379581
9,5,6,4,1,1,.98051131
5,4,5,2,0,0,.72957718
2,6,6,1,1,0,.90110493
1,1,2,5,1,1,.26436493
8,4,4,5,1,1,.88565093
8,5,4,3,1,1,.88211203
2,2,2,3,0,1,.74893296
6,6,4,4,1,1,.91962624
8,5,4,3,1,1,.69345325
6,6,3,2,1,1,.21540259
8,4,3,6,1,1,.82858884
6,3,3,5,0,1,.044215355
4,1,2,3,1,,.86303777
7,5,4,1,1,,.35260457
1,1,2,5,1,1,.77203995
9,5,6,2,1,1,.58611989
3,1,5,3,0,1,.32277662
1,1,1,,1,1,.17293066
1,1,1,4,1,1,.80536443
9,4,4,2,1,1,.3060019
8,6,6,2,1,1,.21909967
1,5,4,1,1,1,.72473097
8,3,4,3,1,1,.69648665
4,4,3,1,0,1,.91193444
8,3,5,3,1,,.6795634
7,7,4,4,1,1,.35494158
3,5,4,4,0,0,.73897004
1,1,2,5,0,1,.18740167
1,1,2,5,1,1,.31461281
7,4,4,4,0,1,.13756929
1,1,1,3,1,1,.6537739
9,6,5,2,1,1,.27013195
3,4,2,2,1,1,.8998394
9,4,4,4,1,1,.57342321
8,3,4,4,1,,.11147037
1,1,2,5,1,1,.41452268
6,5,3,3,1,1,.0030522037
2,6,3,,1,0,.6659978
4,3,5,4,0,1,.34628758
3,7,3,2,1,1,.078023493
8,2,5,2,1,0,.12758136
5,3,5,3,1,1,.22970058
6,4,5,5,1,1,.32955468
9,6,5,2,1,1,.41440889
2,2,2,4,1,0,.036084738
2,4,4,2,1,1,.084381089
9,4,6,4,1,1,.0098762466
4,3,4,2,0,0,.32004371
3,2,4,2,1,0,.0051969658
5,2,4,2,1,0,.22754347
5,6,3,1,1,,.85146797
9,2,4,4,1,1,.98200661
8,6,4,2,1,1,.032479186
9,2,4,3,1,1,.98748469
9,2,4,4,0,1,.89410603
7,6,4,2,1,,.96847343
8,6,3,2,1,1,.23922028
3,7,3,2,1,,.69273365
7,6,4,2,1,,.48843586
5,7,4,2,1,1,.4376452
1,7,3,2,1,1,.58580053
9,5,6,4,1,1,.37870923
4,4,4,,1,,.68806034
8,5,6,3,0,1,.9794578
7,4,3,2,0,1,.67019367
5,1,3,3,1,1,.59488082
6,2,3,2,1,1,.79708928
8,1,2,3,1,1,.78358531
1,1,2,5,1,1,.65463418
7,1,1,7,0,,.096889071
1,2,3,2,1,0,.68850589
7,6,4,6,0,1,.87249601
6,5,4,4,1,1,.52963525
8,3,6,2,0,0,.83022094
9,2,2,5,1,1,.93398529
4,3,3,3,0,0,.17498912
5,7,3,1,1,0,.55361712
5,7,4,2,1,1,.53461522
2,3,4,3,1,,.77677935
3,2,5,2,1,1,.1288747
6,5,6,1,1,,.27751842
7,7,3,2,1,,.42420161
7,7,5,,1,,.13590056
7,4,4,,1,1,.33256239
1,1,1,,1,1,.46755227
9,3,5,3,1,1,.51608807
8,5,4,2,1,1,.066943049
8,5,4,2,1,1,.072296381
1,1,2,5,1,1,.68174654
8,4,5,4,1,1,.088049531
7,4,3,4,1,1,.13270818
6,3,4,4,1,,.87458158
8,6,4,,0,,.24688768
4,5,6,3,1,1,.043254998
9,5,5,2,1,1,.37644368
1,1,1,5,0,1,.76778615
8,5,4,5,1,1,.75513661
8,6,4,2,1,1,.44761884
1,1,2,8,1,,.40871048
9,5,6,3,1,1,.29777426
1,1,2,5,0,0,.67941773
7,4,4,6,1,1,.7124024
9,4,6,5,1,1,.56622654
7,7,3,2,1,1,.17783248
7,7,6,3,1,1,.11399896
4,2,4,7,1,,.5955869
7,5,4,2,1,1,.6251604
1,3,6,7,1,1,.63489896
7,7,3,3,1,1,.99445724
1,2,4,,0,0,.74976772
5,7,3,2,1,1,.17367882
9,4,6,4,1,1,.61077046
2,1,2,2,1,,.57542151
2,1,2,3,0,0,.36781612
8,6,4,2,1,1,.30052456
8,4,4,4,1,1,.0075380234
9,4,5,2,1,1,.67013687
9,3,5,2,1,,.42414057
9,4,6,3,1,1,.95376223
9,4,6,2,0,1,.08674778
1,1,2,6,1,,.89496481
2,2,3,2,1,0,.5890286
9,7,6,3,1,1,.40058318
6,4,3,4,1,1,.66549015
3,7,4,2,1,,.41983864
4,7,3,1,0,0,.74720538
3,6,5,2,1,1,.71901435
1,7,4,1,1,1,.84646469
1,1,2,3,0,,.79083127
6,3,3,4,1,1,.19002222
5,4,4,1,1,0,.38696039
7,5,4,2,1,0,.23871335
7,3,4,2,1,1,.34470016
7,7,6,2,1,1,.7795682
5,7,4,2,1,,.74843955
1,2,4,,1,,.23037836
5,7,4,2,1,1,.16770323
2,3,4,1,1,0,.91805083
2,3,3,3,1,0,.31389961
4,7,5,1,1,0,.90191412
8,6,5,2,1,1,.07740517
8,4,6,5,1,1,.63413823
4,7,5,2,1,1,.81472951
5,3,4,1,1,0,.87889218
4,2,4,4,1,1,.025993519
9,2,3,3,1,1,.17993002
3,7,6,1,1,1,.57788956
8,3,4,2,0,1,.40814152
7,3,5,2,1,,.6155495
7,3,5,3,1,0,.17457695
7,3,4,1,1,,.36176464
8,3,5,2,1,1,.1338996
1,1,2,3,0,1,.0013630959
8,5,4,2,1,1,.25710005
6,3,5,2,0,1,.65174168
8,6,6,2,1,1,.92520809
3,7,3,,1,1,.82333666
4,3,4,4,1,1,.92294019
9,4,4,5,1,1,.74804264
6,5,3,3,1,1,.52141476
9,6,5,2,1,,.40221512
1,5,3,3,1,1,.86819887
8,4,6,2,1,,.27266049
5,2,5,3,0,0,.72394723
5,3,4,4,0,,.79554641
2,2,5,1,1,1,.89250743
6,5,2,4,1,0,.70787907
6,4,1,3,0,0,.36526898
8,2,3,3,1,1,.93104994
8,2,3,6,1,,.62168086
1,1,,4,0,1,.80043542
7,4,6,1,1,1,.47983721
9,3,5,3,1,1,.14294797
5,3,4,1,1,1,.8343448
8,7,5,2,1,1,.34312508
9,5,5,2,1,1,.59068668
1,1,1,3,0,,.32953
4,3,4,2,1,,.69962949
8,6,4,3,1,1,.8142969
7,5,3,4,1,1,.34297264
9,3,4,4,1,1,.10796808
9,6,5,2,1,1,.96717429
8,6,6,3,1,1,.1285523
6,3,4,2,1,0,.75785357
7,3,4,2,1,1,.25002995
9,6,6,2,1,1,.9269138
8,2,3,3,1,,.71184307
6,5,,4,1,1,.17967154
8,5,6,2,0,1,.45065185
9,1,2,4,1,1,.19460681
8,6,5,2,1,1,.71357405
9,7,4,2,1,1,.24531136
9,6,4,2,1,1,.76724559
4,3,4,4,1,1,.36535567
9,2,4,3,1,1,.27069142
8,5,6,3,0,1,.99113184
5,3,6,2,1,0,.68512976
7,5,3,3,1,1,.50276679
9,7,4,3,1,1,.69038182
9,4,6,3,1,1,.86360121
5,7,5,2,1,1,.040463302
6,6,3,1,1,,.18422191
8,6,4,3,1,1,.41988069
9,4,5,4,1,1,.64754987
9,4,6,2,1,1,.9103145
8,4,6,4,1,1,.68092209
9,3,6,2,0,1,.85688269
4,2,3,4,1,0,.064201787
9,4,5,4,1,1,.83906645
7,6,5,4,1,1,.62082022
7,3,3,4,1,0,.40417561
8,3,4,4,1,1,.97863662
8,5,4,2,1,1,.36276805
1,4,6,1,1,1,.31382445
2,7,2,1,1,1,.63807124
4,5,3,,0,1,.18699375
6,7,3,2,1,1,.50534767
3,2,4,6,1,1,.52763051
4,7,4,2,1,,.78534144
4,7,3,1,1,1,.47173378
5,2,4,1,1,1,.22998421
2,4,3,5,1,0,.79768276
6,6,4,4,1,1,.16493952
6,3,4,3,1,0,.93294495
8,4,6,1,1,,.39993149
6,3,3,4,1,,.9881987
1,7,6,2,1,1,.92878562
8,5,4,5,1,1,.66403782
7,5,4,4,0,,.036803816
5,3,4,5,1,1,.33364984
9,4,5,4,1,1,.78242952
6,3,5,1,1,,.01700492
4,6,4,3,1,1,.22782041
8,3,5,4,1,1,.57824653
4,5,4,1,1,,.7533595
3,2,4,3,1,1,.85700721
7,4,4,4,1,1,.93227464
8,2,4,,1,1,.32444698
6,7,4,,1,1,.16377111
8,7,6,2,1,,.95820099
9,3,5,4,0,1,.60086083
9,2,4,3,1,1,.9733476
9,2,2,4,1,1,.23638271
1,2,2,4,1,1,.67647856
8,3,5,2,1,1,.14591032
8,3,5,2,1,1,.29664016
1,2,4,5,1,1,.8219558
5,2,3,3,1,1,.3213928
1,2,3,,1,1,.4164997
9,5,4,2,1,1,.023696393
4,6,5,2,1,1,.31254044
3,5,5,1,1,0,.93226188
